ITEMS,Desc1,Desc2,Services ID,Sr no,
SALALAH,30-Dec,06-Jan,13,190,
MOMBASA,06-Jan,13-Jan,13,191,
ETA,22-Dec,27-Dec,13,192,SWAX
ETD,23-Dec,28-Dec,14,193,
CY/CUTDIFF DATE/TIME,19-12-1900,26-12-1900,14,194,
VESSELS,RHL Calliditas,Louise,14,195,
VOY,1951S,02S4RS1MA,14,196,
VIA,K1213,K1245,14,197,
ROTATION DATE,184690-05/12,185091-12/12,14,198,
ACMTPL,24-Dec,29-Dec,14,199,
J.ALI,29-Dec,03-Jan,14,200,
MOM,06-Jan,11-Jan,14,201,
DAR,08-Jan,13-Jan,14,202,
ETA,25-Dec,30-Dec,15,203,INGWE
ETD,26-Dec,31-Dec,15,204,
CY/CUTDIFF DATE/TIME,-,TBA ,15,205,
VESSELS,MSC Athos,MSC Palak,15,206,
VOY,XA951A,ZF948R,15,207,
VIA,-,-,15,208,
ROTATION DATE,-,-,15,209,
HAZ,26-Dec,31-Dec,15,210,
COL,30-Dec,04-Jan,15,211,
SIN,04-Jan,09-Jan,15,212,
QNG,11-Jan,16-Jan,15,213,
SHA,-,19-Jan,15,214,
NIN,-,21-Jan,15,215,
SHE,-,24-Jan,15,216,
ETA,21-Dec,28-Dec,16,217,CIX2-CISC-NCI
ETD,23-Dec,30-Dec,16,218,
CY/CUTDIFF DATE/TIME,21-12-0700,28/12-0700,16,219,
VESSELS,Shimin,Ever United,16,220,
VOY,889E,172E,16,221,
VIA,K1203,K1224,16,222,
ROTATION DATE,184588-04/12,184885-9/12,16,223,
AMCT,25-Dec,01-Jan,16,224,
CMB,31-Dec,07-Jan,16,225,
PKG/W,05-Jan,12-Jan,16,226,
SIN,07-Jan,14-Jan,16,227,
XIN,18-Jan,25-Jan,16,228,
QNG,20-Jan,27-Jan,16,229,
ETA,19-Dec,26-Dec,17,230,CI2
ETD,21-Dec,28-Dec,17,231,
CY/CUTDIFF DATE/TIME,19/12-1500,26/12-1500,17,232,
VESSELS,Wan Hai 510,Wan Hai 508,17,233,
VOY,125E,169E,17,234,
VIA,K1209,K1236,17,235,
ROTATION DATE,184662-4/12,184998-11/12,17,236,
TUTI,24-Dec,31-Dec,17,237,
PENANG,29-Dec,05-Jan,17,238,
PKG,31-Dec,07-Jan,17,239,
HKG,06-Jan,13-Jan,17,240,
QNG,10-Jan,17-Jan,17,241,
SHA,12-Dec,19-Jan,17,242,
NGB,14-Dec,21-Jan,17,243,
SHE,17-Jan,24-Jan,17,244,
PKG,23-Jan,30-Jan,17,245,
ETA,19-Dec,25-Dec,18,246,AIS
ETD,20-Dec,27-Dec,18,247,
CY/CUTDIFF DATE/TIME,18-12-1500,25-12-1500,18,248,
VESSELS,KMTC Dubai,Clemens Schulte,18,249,
VOY,1908E,1908E,18,250,
VIA,K1168,K1220,18,251,
ROTATION DATE,184028-25/11,184839-9/12,18,252,
AMCT,21-Dec,28-Dec,18,253,
KHI,24-Dec,31-Dec,18,254,
PKG,01-Jan,08-Jan,18,255,
HKG,05-Jan,12-Jan,18,256,
TAO,09-Jan,16-Jan,18,257,
KAN,11-Dec,18-Dec,18,258,
PUS,12-Dec,19-Dec,18,259,
NGB,14-Dec,21-Dec,18,260,
SHK,17-Jan,24-Jan,18,261,
ETA,20-Dec,24-Dec,19,262,CIX
ETD,21-Dec,25-Dec,19,263,
CY/CUTDIFF DATE/TIME,20/12-0200,-,19,264,
VESSELS,Hyundai Colombo,Hyundai New York,19,265,
VOY,106E,091E,19,266,
VIA,K1153,-,19,267,
ROTATION DATE,184024-25/11,-,19,268,
AICTPL,22-Dec,26-Dec,19,269,
KAR,24-Dec,28-Dec,19,270,
P.KLG,01-Jan,06-Jan,19,271,
SING.,03-Jan,07-Jan,19,272,
DBC,-,12-Jan,19,273,
BUS,10-Jan,15-Jan,19,274,
KWG,12-Jan,16-Jan,19,275,
SHA,14-Jan,18-Jan,19,276,
LGB,-,-,19,277,
OAK,-,-,19,278,
ETA,22-Dec,29-Dec,20,279,CI1-AS6-CIX1
ETD,24-Dec,31-Dec,20,280,
CY/CUTDIFF DATE/TIME,22-12-0400,29/12-1400,20,281,
VESSELS,CSCL Africa,CSCL Asia,20,282,
VOY,040W,138W,20,283,
VIA,K1226,-,20,284,
ROTATION DATE,184930-10/12,-,20,285,
KHI,26-Dec,02-Jan,20,286,
COL,01-Jan,08-Jan,20,287,
SIN,07-Jan,14-Jan,20,288,
SHA,14-Jan,21-Jan,20,289,
NIN,16-Jan,23-Jan,20,290,
SHK,20-Jan,27-Jan,20,291,
NAN,20-Jan,27-Jan,20,292,
SIN,25-Jan,01-Feb,20,293,
ETA,17-Dec,24-Dec,21,294,SCIX
ETD,18-Dec,25-Dec,21,295,
CY/CUTDIFF DATE/TIME,16-12-2000,23-12-2000,21,296,
VESSELS,Wan Hai 509,Ital Massima,21,297,
VOY,E100,E137,21,298,
VIA,K1202,K1216,21,299,
ROTATION DATE,184572-03/12,184745-6/12,21,300,
PKG,23-Dec,30-Dec,21,301,
SIN,24-Dec,31-Dec,21,302,
KAO,29-Dec,05-Jan,21,303,
HKG.,31-Dec,07-Jan,21,304,
SHE.,01-Jan,08-Jan,21,305,
ETA,22-Dec,29/12-14
